0,,,,,,Sol,0.000000,0.000000,0,0.00,0.00,0.0,-26.700,4.850,G2V,0.656,0.000005,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0,0,0,0,,,,1,0,,1,,,
80,80,224817,,,,,0.016187,-11.823739,238.45,419.04,-82.83,-7.0,8.400,4.080,G2V,0.566,71.547716,0.303237,-14.978171,-0.00001365,0.00014844,-0.00002726,0.00423784317841125,-0.20636316674774624,0.0000020315632470000004,-0.000000401571171,,,,1,80,,2.032357010936221,,,
306,306,225158,,,,,0.065007,-57.830500,243.797,150.24,-58.93,0.0,8.590,4.222,G2V,0.616,39.786882,0.677413,-63.264315,-0.00001900,0.00005412,-0.00001137,0.017018793360644584,-1.0093326388811337,0.0000007283840736666667,-0.000000285700701,,,,1,306,,1.7831997722329156,,,
394,394,225239,9107,NN 3002,,,0.081573,34.659797,127.821,769.11,100.49,6.4,6.090,3.124,G2V,0.632,32.224052,0.688502,22.284640,-0.00000859,0.00014595,0.00001942,0.02135579856686206,0.6049275719060863,0.000003728750498520833,0.000000487189267,,,,1,394,,4.902301301361681,,,
680,682,377,,,,,0.140485,6.616805,127.472,87.26,-0.90,-3.9,7.590,4.630,G2V,0.626,38.791217,1.427339,4.502872,-0.00000455,0.00001637,-0.00000063,0.03677881867365446,0.11548503482092375,0.0000004230484176527778,-0.000000004363323,,,,1,680,,1.2246161992650484,,,
706,705,245,,,,,0.146547,86.787882,186.293,331.45,-6.63,-80.0,8.410,4.626,G2V,0.588,3.197613,0.123498,57.019761,-0.00000627,0.00009159,-0.00008179,0.03836596550576176,1.5147342927474639,0.0000016069149442013889,-0.000000032143147,,,,1,706,,1.229136173060167,,,
844,846,603,,,,,0.173076,-13.983955,259.094,180.98,71.53,0.0,8.920,4.420,G2V,0.578,76.995017,3.491139,-19.193813,0.00000349,0.00006992,0.00002673,0.04531113438824186,-0.24406605161178124,0.0000008774157990694444,0.000000346787225,,,,1,844,,1.4859356422870067,,,
873,875,657,,,,,0.179408,-38.768916,334.908,146.05,-23.46,0.0,8.680,3.623,G2V,0.588,79.960764,3.758567,-64.289619,-0.00001072,0.00007227,-0.00000910,0.04696881861582895,-0.6766452332012787,0.0000007080703804513889,-0.000000113737289,,,,1,873,,3.0959932133091717,,,
1152,1154,1018,,,,,0.240421,-27.169907,403.713,-30.56,-57.07,0.0,8.930,3.467,G1/G2V,0.618,109.887972,6.925714,-56.513714,-0.00001445,-0.00001928,-0.00003046,0.0629421346082182,-0.4742043299777112,-0.00000014815906077777776,-0.000000276683167,,,,1,1152,,3.574374062644807,,,
1304,1305,1216,,,,,0.273175,-34.829317,368.172,-42.57,-5.38,0.0,9.070,3.807,G1/G2V,0.586,92.410684,6.620185,-64.462028,-0.00000001,-0.00002335,-0.00000242,0.07151695312964164,-0.60788626022604,-0.00000020638518381250003,-0.000000026082976,,,,1,1304,,2.613364576189024,,,
1346,1349,1273,,Gl 13,,,0.281604,-52.651149,73.7176,314.94,182.50,-14.3,6.840,5.070,G2V,0.655,13.672666,1.009951,-17.965041,0.00000446,0.00003493,0.00002376,0.0737238441317985,-0.9189358991315388,0.0000015268722055416668,0.000000884784967,,,,1,1346,,0.8165823713585919,,,
1441,1444,1388,,Wo 9008,,,0.299685,-13.455640,88.7861,396.98,-0.60,28.2,6.510,4.336,G2V,0.599,26.389981,2.074756,-6.333552,0.00002384,0.00005442,-0.00000679,0.07845723236680435,-0.2348452254527175,0.0000019246133490694446,-0.000000002908882,,,,1,1441,,1.6054618868009711,,,
1582,1585,1569,,,,,0.330601,-22.391404,379.744,0.45,-48.76,14.0,9.680,4.350,G2V,0.585,107.234333,9.304500,-44.345978,0.00000272,0.00000049,-0.00003090,0.08655115308953867,-0.3908037174575625,0.0000000021816615625,-0.00000023639515,,,,1,1582,,1.5848931924611136,,,
1645,1649,2205,,,,,0.344874,-87.666956,283.652,128.80,43.67,0.0,8.730,4.033,G2V,0.627,3.525369,0.319624,-86.884420,0.00001342,0.00005573,0.00000075,0.09028787485017986,-1.5300770274663276,0.0000006244400205555556,0.000000211718134,,,,1,1645,,2.1222668969007805,,,
1771,1775,1839,,,,,0.375102,-59.022425,445.628,74.62,-45.27,0.0,9.400,3.723,G2V,0.666,69.975756,6.894114,-117.126868,-0.00003043,0.00004666,-0.00001543,0.09820155746972377,-1.0301356444075886,0.0000003617679684305556,-0.000000219475153,,,,1,1771,,2.8235793691102984,,,
1903,1908,2030,,,,,0.401947,-58.839685,285.14,-46.56,-223.88,0.0,9.060,4.352,G2V,0.586,44.980105,4.750700,-74.800961,-0.00007866,-0.00002815,-0.00004909,0.10522953186906542,-1.026946239257595,-0.00000022572924966666668,-0.000001085400868,,,,1,1903,,1.5819763986011537,,,
1971,1976,2098,,,,,0.417066,-30.697700,153.362,-165.95,-277.80,0.0,7.570,4.209,G2V,0.616,40.185837,4.405268,-24.001348,-0.00002801,-0.00004112,-0.00005444,0.10918757620234978,-0.535775942608535,-0.0000008045483028819444,-0.000001346812404,,,,1,1971,,1.8046791465567222,,,
2611,2617,3011,,,,,0.553914,-30.939215,715.351,57.43,-90.63,0.0,10.230,3.525,G2V,0.642,186.120679,27.181040,-112.747437,-0.00005784,0.00005325,-0.00008264,0.14501432324934652,-0.5399911746330824,0.0000002784284967430556,-0.000000439386638,,,,1,2611,,3.3884415613920247,,,
